2024-05-12 08:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=1 age=50 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-05-27 08:48 | BOROUGH=BRONX | ZONE=CMD040 | VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=44 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=45 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=63 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=3 killed=0 factor=Lane Change
2024-05-27 12:38 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=MOTORCYCLE | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=61 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=31 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-05-27 17:02 | BOROUGH=MANHATTAN | ZONE=CMD010 | VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=1 force=0 age=39 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=69 sex=M race=WHITE | COLLISION:injured=3 killed=0 factor=Failure to Yield || VEH=TRUCK | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=72 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Unsafe Speed
2024-05-28 08:30 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=VAN | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=74 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=32 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-05-28 12:25 | BOROUGH=QUEENS | ZONE=CMD105 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=X race=WHITE | COLLISION:injured=2 killed=0 factor=Unsafe Speed || VEH=BUS | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-28 17:50 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=TAXI | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=71 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=TAXI | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=47 sex=F race=HISPANIC | COLLISION:injured=3 killed=0 factor=Backing Unsafely
2024-05-29 08:15 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=19 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=48 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=F race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Backing Unsafely
2024-05-29 12:48 | BOROUGH=MANHATTAN | ZONE=CMD014 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=1 age=69 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=TAXI | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=63 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-05-29 17:12 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=65 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Distraction || VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=46 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=25 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-05-30 08:32 | BOROUGH=BRONX | ZONE=CMD040 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=73 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=61 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-30 12:20 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=74 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=30 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=56 sex=F race=BLACK | COLLISION:injured=1 killed=0 factor=Right of Way Violation
2024-05-30 17:05 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=43 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=25 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=VAN | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=74 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
2024-05-31 08:42 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=TAXI | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=24 sex=F race=HISPANIC | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=53 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=BUS | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=71 sex=M race=WHITE | COLLISION:injured=3 killed=0 factor=Failure to Yield
2024-05-31 12:50 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=CAR/SUV | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=44 sex=F race=WHITE | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=52 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=46 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Driver Inattention
2024-05-31 17:40 | BOROUGH=MANHATTAN | ZONE=CMD018 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=1 age=45 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=27 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-06-01 08:20 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=71 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=1 age=20 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=1 age=50 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-06-01 12:42 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=70 sex=X race=HISPANIC | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=66 sex=X race=BLACK | COLLISION:injured=5 killed=0 factor=Improper Turn || VEH=TAXI | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=60 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Unsafe Speed
2024-06-01 17:42 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=VAN | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=64 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=45 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=71 sex=M race=WHITE | COLLISION:injured=4 killed=0 factor=Following Too Closely
2024-06-02 08:15 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=34 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=74 sex=M race=UNKNOWN | COLLISION:injured=5 killed=0 factor=Driver Distraction
2024-06-02 12:40 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=23 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=41 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=36 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-06-02 17:48 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=63 sex=X race=UNKNOWN | COLLISION:injured=3 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BICYCLE | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=61 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
2024-06-03 08:25 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=M race=WHITE | COLLISION:injured=2 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=52 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=34 sex=F race=BLACK | COLLISION:injured=2 killed=0 factor=Backing Unsafely
2024-06-03 12:55 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=71 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=TRUCK | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=68 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=48 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-06-03 17:25 | BOROUGH=BRONX | ZONE=CMD046 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=41 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Traffic Control Disregarded || VEH=VAN | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=71 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=BUS | STOP:search=1 arrest=1 summon=1 checkpoint=1 force=0 age=52 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Backing Unsafely
2024-06-04 08:02 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=66 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=42 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=31 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-06-04 12:08 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=26 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=42 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-06-04 17:38 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=26 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=50 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-06-05 08:48 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=47 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=68 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=34 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-06-05 12:12 | BOROUGH=BROOKLYN | ZONE=CMD071 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Driver Distraction || VEH=BUS | STOP:search=1 arrest=0 summon=0 checkpoint=1 force=0 age=46 sex=F race=HISPANIC | COLLISION:injured=2 killed=0 factor=Lane Change || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=71 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Following Too Closely
2024-06-05 17:45 | BOROUGH=QUEENS | ZONE=CMD105 | VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=26 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=74 sex=F race=WHITE | COLLISION:injured=2 killed=0 factor=Right of Way Violation || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=28 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Lane Change
2024-06-06 08:55 | BOROUGH=BROOKLYN | ZONE=CMD067 | VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=MOTORCYCLE | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=20 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=69 sex=X race=BLACK | COLLISION:injured=2 killed=0 factor=Failure to Yield
2024-06-06 12:40 | BOROUGH=BRONX | ZONE=CMD044 | VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=24 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=TRUCK | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=BICYCLE | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=21 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-06-06 17:05 | BOROUGH=QUEENS | ZONE=CMD110 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=29 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=36 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=18 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-06-07 08:20 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=65 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=24 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=63 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-06-07 12:48 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=58 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=29 sex=F race=WHITE | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=31 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Failure to Yield
2024-06-07 17:20 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=VAN | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=34 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=F race=WHITE | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=TRUCK | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=21 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
2024-06-08 08:05 | BOROUGH=QUEENS | ZONE=CMD110 | VEH=BICYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=60 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Backing Unsafely || VEH=TRUCK | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=45 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=TAXI | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=65 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change
2024-06-08 12:38 | BOROUGH=QUEENS | ZONE=CMD105 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=F race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=54 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-06-08 17:40 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=1 age=33 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=18 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=73 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-06-09 08:15 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=64 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=72 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change
2024-06-09 12:48 | BOROUGH=BRONX | ZONE=CMD040 | VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=72 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Improper Turn || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Right of Way Violation || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=72 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-06-09 17:55 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=BICYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=32 sex=M race=HISPANIC | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=1 force=0 age=49 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Failure to Yield
2024-06-10 08:50 | BOROUGH=BRONX | ZONE=CMD040 | VEH=VAN | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=48 sex=M race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=X race=WHITE | COLLISION:injured=2 killed=0 factor=Traffic Control Disregarded || VEH=BICYCLE | STOP:search=0 arrest=1 summon=1 checkpoint=1 force=0 age=65 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Driver Inattention
2024-06-10 12:30 | BOROUGH=BRONX | ZONE=CMD042 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=25 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=VAN | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=31 sex=X race=WHITE | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=72 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-06-10 17:40 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Improper Turn || VEH=TAXI | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=47 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=63 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Following Too Closely
